address,slots,name,bikes,status,zip,id,lon,lat,stationType,addressNumber,nearbyStations,district
441 - Puente Xoco-Real De Mayorazgo,29,441 PUENTE XOCO-REAL DE MAYORAZGO,7,OPN,3330,441,-99.167527,19.361215,BIKE,S/N,"433,440,442",XOC
442 - Real De Mayorazgo-Avenida México-Coyoacan,18,442 REAL DE MAYORAZGO-AVENIDA MÉXICO-COYOACAN,6,OPN,3330,442,-99.1653,19.359905,"BIKE,TPV",S/N,"432,443,444",XOC
443 - Bruno Trave-Avenida México-Coyoacan,30,443 BRUNO TRAVEN-GOLONDRINAS,0,OPN,3340,443,-99.162025,19.359655,BIKE,S/N,"432,442,444",1
444 - General Manuel Rincón-Agustín Gutierrez,15,444 GENERAL MANUEL RINCÓN-AGUSTÍN GUTIERREZ,3,OPN,3340,444,-99.159425,19.359384,BIKE,S/N,"431,432,443",GPM
445 - Riff-Avenida Rio Churubusco,33,445 RIFF-AVENIDA RIO CHURUBUSCO,3,OPN,3340,445,-99.156105,19.35827,BIKE,S/N,"431,444,446",GPM
446 - Riff-Avenida Rio Churubusco,32,446 RIFF-AVENIDA RIO CHURUBUSCO,3,OPN,3340,446,-99.1561282,19.3591196,"BIKE,TPV",S/N,"431,444,445",GPM
447 AGUSTÍN MELGAR-ZAMORA,10,447 AGUSTÍN MELGAR-ZAMORA,17,OPN,,447,-99.176776,19.418858,BIKE,S/N,447,JUA
DR. ANDRADE ARCOS DE BELÉN,28,448 DR. ANDRADE - ARCOS DE BELÉN,2,OPN,,448,-99.14447,19.426611,"BIKE,TPV",S/N,448,
449 ACAPULCO-PUEBLA,33,449 ACAPULCO-PUEBLA,3,OPN,,449,-99.174393,19.42018,BIKE,S/N,449,JUA
450 RAMOS ARIZPE-PUENTE DE ALVARADO,23,450 RAMOS ARIZPE-PUENTE DE ALVARADO,7,OPN,,450,-99.152226,19.43836,BIKE,S/N,450,TAB
451 CAMPOS ELÍSEOS-GOLDSMITH,36,451 CAMPOS ELÍSEOS-GOLDSMITH,0,OPN,,451,-99.201322,19.42902,BIKE,S/N,451,POL
452 LEIBNITZ-AV. EJERCITO NACIONAL,17,452 LEIBNITZ-AV. EJERCITO NACIONAL,0,OPN,,452,-99.179838,19.435031,BIKE,S/N,452,2
